iter	RMSE
0	1.010823149
1	0.9738979615
2	0.9372703427
3	0.8906845709
4	0.8439367553
5	0.7990583076
6	0.7643453141
7	0.7353258522
8	0.6912379458
9	0.6567746454
10	0.6359031677
11	0.6042001719
12	0.581352992
13	0.5499587913
14	0.5200548997
15	0.4999992344
16	0.4740938287
17	0.4552328523
18	0.4396100946
19	0.4174640052
20	0.3978167931
21	0.3779335264
22	0.3658327416
23	0.3486449024
24	0.3342238579
25	0.3181170166
26	0.3031516477
27	0.2888870154
28	0.2787570346
29	0.2712950107
30	0.260014912
31	0.2502042322
32	0.2432007918
33	0.231719846
34	0.2207068257
35	0.2108301083
36	0.2028365499
37	0.1960567649
38	0.1870697302
39	0.1780496625
40	0.1699565413
41	0.1639064487
42	0.1561187756
43	0.1483562016
44	0.1437518113
45	0.1375070973
46	0.1312062622
47	0.1252016427
48	0.1196678512
49	0.114518414
50	0.1094434932
51	0.1055481629
52	0.1016383656
53	0.09763423938
54	0.09424625812
55	0.09080872571
56	0.0884619224
57	0.08452305949
58	0.08231928967
59	0.078785463
60	0.07599935155
61	0.07401185112
62	0.07213081267
63	0.07032754232
64	0.06782663187
65	0.06603229654
66	0.0643146978
67	0.06263225374
68	0.06097771211
69	0.05945326928
70	0.05793778552
71	0.05645693807
72	0.05497023213
73	0.05357861088
74	0.05219832717
75	0.05084426496
76	0.04954124843
77	0.04827277343
78	0.04700953199
79	0.04582589582
80	0.04464359145
81	0.04352047832
82	0.04242474525
83	0.04133304757
84	0.04025560905
85	0.03922269073
86	0.03821793046
87	0.03724051502
88	0.03628965815
89	0.03536459958
90	0.03446460397
91	0.03358896005
92	0.03273697962
93	0.03190799673
94	0.03110136688
95	0.03031646616
96	0.02955269055
97	0.02880945515
98	0.02808619353
99	0.02738235703
100	0.02669741414
101	0.02603162947
102	0.0253836138
103	0.02475288353
104	0.02413897048
105	0.02354142127
106	0.02294092133
107	0.02235672654
108	0.02180514315
109	0.0212682362
110	0.02073623666
111	0.02021764117
112	0.01971211055
113	0.0192193144
114	0.01873893087
115	0.01827064643
116	0.01781415568
117	0.01736916105
118	0.01693537268
119	0.01651250816
120	0.01610029235
121	0.01569845719
122	0.01530674149
123	0.01492489077
124	0.0145526571
125	0.01418979887
126	0.01383608068
127	0.01349127317
128	0.01315515281
129	0.01282750182
130	0.01250810799
131	0.0121967645
132	0.01189326984
133	0.01159460627
134	0.0113033895
135	0.01101958395
136	0.01074299868
137	0.01047344784
138	0.01021075057
139	0.009954730852
140	0.009705217341
141	0.009463668134
142	0.009226527271
143	0.008995410767
144	0.008770164462
145	0.008551911161
146	0.008337830536
147	0.008129186156
148	0.007925782904
149	0.007727650609
150	0.007534651837
151	0.007346653005
152	0.007163524262
153	0.006984436153
154	0.006809825247
155	0.006639579613
156	0.00647359012
157	0.006311750365
158	0.006153956603
159	0.006000107686
160	0.005850104992
161	0.005703852365
162	0.005561256053
163	0.00542222465
164	0.005286669032
165	0.005154502304
166	0.005025639744
167	0.004899998749
168	0.004777498778
169	0.004658061307
170	0.004541609773
171	0.004428069527
172	0.004317367787
173	0.004209433591
174	0.004104197749
175	0.004001592804
176	0.003901552982
177	0.003804014156
178	0.003708913801
179	0.003616190955
180	0.003525786179
181	0.003437641524
182	0.003351700484
183	0.003267907971
184	0.00318621027
185	0.003106555012
186	0.003028891136
187	0.002953168856
188	0.002879339634
189	0.002807356142
190	0.002737172237
191	0.002668742931
192	0.002602024356
193	0.002536973746
194	0.002473549402
195	0.002411710666
196	0.002351417898
197	0.00229263245
198	0.002235316638
199	0.002179433721
200	0.002124947877
201	0.002071824179
202	0.002020028574
203	0.001969527859
204	0.001920289662
205	0.00187228242
206	0.001825475358
207	0.001779838474
208	0.001735342511
209	0.001691958948
210	0.001649659974
211	0.001608418474
212	0.001568208011
213	0.00152900281
214	0.001490777739
215	0.001453508295
216	0.001417170587
217	0.001381741322
218	0.001347197789
219	0.001313517843
220	0.001280679897
221	0.001248662899
222	0.001217446326
223	0.001187010167
224	0.001157334913
225	0.00112840154
226	0.001100191501
227	0.001072686713
228	0.001045869545
229	0.001019722806
230	0.000994229735
231	0.0009693739913
232	0.0009451396411
233	0.0009215111497
234	0.0008984733707
235	0.0008760115361
236	0.0008541112473
237	0.0008327584658
238	0.0008119395039
239	0.000791641016
240	0.0007718499903
241	0.0007525537402
242	0.0007337398964
243	0.0007153963988
244	0.0006975114885
245	0.0006800737011
246	0.0006630718583
247	0.0006464950616
248	0.0006303326848
249	0.0006145743674
250	0.000599210008
251	0.0005842297576
252	0.0005696240134
253	0.0005553834129
254	0.0005414988274
255	0.0005279613565
256	0.0005147623224
257	0.0005018932641
258	0.0004893459323
259	0.0004771122838
260	0.0004651844766
261	0.0004535548645
262	0.0004422159927
263	0.0004311605927
264	0.0004203815777
265	0.0004098720381
266	0.000399625237
267	0.000389634606
268	0.0003798937407
269	0.000370396397
270	0.0003611364869
271	0.0003521080746
272	0.0003433053726
273	0.0003347227382
274	0.0003263546696
275	0.0003181958027
276	0.0003102409076
277	0.0003024848848
278	0.0002949227625
279	0.0002875496934
280	0.0002803609509
281	0.000273351927
282	0.0002665181288
283	0.0002598551754
284	0.000253358796
285	0.000247024826
286	0.0002408492052
287	0.000234827975
288	0.0002289572755
289	0.0002232333436
290	0.0002176525099
291	0.0002122111971
292	0.0002069059171
293	0.0002017332691
294	0.0001966899373
295	0.0001917726887
296	0.0001869783715
297	0.0001823039121
298	0.0001777463142
299	0.0001733026563
